Date,Strategy_Equity
2022-10-14,7070.501462936401
2022-10-17,7235.984823226929
2022-10-18,7364.714773178101
2022-10-19,7265.591733932495
2022-10-20,7170.07643699646
2022-10-21,7371.460378646851
2022-10-24,7258.4280796051025
2022-10-25,7356.71820640564
2022-10-26,7364.729154586792
2022-10-27,7356.37354850769
2022-10-28,7514.6841106414795
2022-10-31,7457.146478652954
2022-11-01,7563.022626876831
2022-11-02,7304.687000274658
2022-11-03,7343.446487426758
2022-11-04,7395.036247253418
2022-11-07,7484.361776351929
2022-11-08,7434.979990005493
2022-11-09,7231.380784988403
2022-11-10,7657.732748031616
2022-11-11,7786.56785774231
2022-11-14,7662.710676193237
2022-11-15,7733.881845474243
2022-11-16,7609.05620765686
2022-11-17,7557.219808578491
2022-11-18,7610.764688491821
2022-11-21,7550.126962661743
2022-11-22,7652.937685012817
2022-11-23,7622.760541915894
2022-11-25,7656.4527950286865
2022-11-28,7488.289846420288
2022-11-29,7533.0675983428955
2022-11-30,7634.971261978149
2022-12-01,7635.99746131897
2022-12-02,7624.23973274231
2022-12-05,7549.313882827759
2022-12-06,7490.69912147522
2022-12-07,7373.521074295044
2022-12-08,7358.626600265503
2022-12-09,7297.096597671509
2022-12-12,7419.3571491241455
2022-12-13,7405.944158554077
2022-12-14,7414.653985977173
2022-12-15,7244.686647415161
2022-12-16,7171.705854415894
2022-12-19,7145.362598419189
2022-12-20,7131.899782180786
2022-12-21,7259.128248214722
2022-12-22,7165.811283111572
2022-12-23,7196.140218734741
2022-12-27,7263.200609207153
2022-12-28,7112.760202407837
2022-12-29,7214.638673782349
2022-12-30,7227.039720535278
2023-01-03,7232.711673736572
2023-01-04,7372.092260360718
2023-01-05,7325.16526222229
2023-01-06,7449.686689376831
2023-01-09,7503.3082447052
2023-01-10,7607.150096893311
2023-01-11,7665.00083732605
2023-01-12,7650.727619171143
2023-01-13,7656.3248291015625
2023-01-17,7622.434392929077
2023-01-18,7469.687496185303
2023-01-19,7433.272294998169
2023-01-20,7546.524585723877
2023-01-23,7782.704669952393
2023-01-24,7774.886333465576
2023-01-25,7770.47439956665
2023-01-26,7838.77925491333
2023-01-27,7911.403747558594
2023-01-30,7865.379287719727
2023-01-31,8192.170040130615
2023-02-01,8361.32678604126
2023-02-02,8500.01001739502
2023-02-03,8401.85107421875
2023-02-06,8292.030513763428
2023-02-07,8388.828796386719
2023-02-08,8210.412548065186
2023-02-09,8204.288024902344
2023-02-10,8162.014915466309
2023-02-13,8284.735233306885
2023-02-14,8297.090240478516
2023-02-15,8375.590816497803
2023-02-16,8275.846649169922
2023-02-17,8260.977928161621
2023-02-21,8062.075241088867
2023-02-22,8023.257476806641
2023-02-23,8065.393867492676
2023-02-24,7775.787250518799
2023-02-27,7788.892810821533
2023-02-28,7803.854885101318
2023-03-01,7856.577610015869
2023-03-02,8023.0419845581055
2023-03-03,8112.764453887939
2023-03-06,8024.618480682373
2023-03-07,7943.913593292236
2023-03-08,7998.659770965576
2023-03-09,7875.4743309021
2023-03-10,7664.2575035095215
2023-03-13,7592.145217895508
2023-03-14,7725.968948364258
2023-03-15,7654.667484283447
2023-03-16,7694.305820465088
2023-03-17,7495.640113830566
2023-03-20,7641.678737640381
2023-03-21,7723.483982086182
2023-03-22,7644.595642089844
2023-03-23,7623.59192276001
2023-03-24,7664.799076080322
2023-03-27,7731.196533203125
2023-03-28,7780.851650238037
2023-03-29,7839.7707862854
2023-03-30,7884.593158721924
2023-03-31,7989.319847106934
2023-04-03,8016.877452850342
2023-04-04,7845.054618835449
2023-04-05,7777.073047637939
2023-04-06,7746.033206939697
2023-04-10,7755.431449890137
2023-04-11,7805.702667236328
2023-04-12,7798.305572509766
2023-04-13,7863.574298858643
2023-04-14,7859.731033325195
2023-04-17,7908.45902633667
2023-04-18,7905.4686851501465
2023-04-19,7934.248546600342
2023-04-20,7881.228458404541
2023-04-21,7861.619647979736
2023-04-24,7850.392238616943
2023-04-25,7755.3973388671875
2023-04-26,7864.5861740112305
2023-04-27,8069.409561157227
2023-04-28,8084.7358322143555
2023-05-01,8167.363914489746
2023-05-02,8187.876083374023
2023-05-03,8049.077617645264
2023-05-04,8017.189964294434
2023-05-05,8113.873115539551
2023-05-08,8105.896499633789
2023-05-09,8059.613876342773
2023-05-10,8034.287128448486
2023-05-11,7975.927993774414
2023-05-12,7932.489124298096
2023-05-15,7959.676723480225
2023-05-16,7891.240684509277
2023-05-17,7987.388011932373
2023-05-18,8094.589130401611
2023-05-19,8088.976305007935
2023-05-22,8086.5593338012695
2023-05-23,8031.437986373901
2023-05-24,7907.674482345581
2023-05-25,7988.292066574097
2023-05-26,8106.442348480225
2023-05-30,8100.675010681152
2023-05-31,7919.449306488037
2023-06-01,7962.954490661621
2023-06-02,8226.98267364502
2023-06-05,8153.930156707764
2023-06-06,8219.38585472107
2023-06-07,8316.728883743286
2023-06-08,8277.625494003296
2023-06-09,8312.04743385315
2023-06-12,8352.651739120483
2023-06-13,8489.50119972229
2023-06-14,8482.663528442383
2023-06-15,8570.398233413696
2023-06-16,8519.451513290405
2023-06-20,8409.208250045776
2023-06-21,8387.553411483765
2023-06-22,8334.212984085083
2023-06-23,8244.476301193237
2023-06-26,8294.74398612976
2023-06-27,8463.407918930054
2023-06-28,8470.669450759888
2023-06-29,8501.071264266968
2023-06-30,8538.132539749146
2023-07-03,8554.216917037964
2023-07-05,8431.187913894653
2023-07-06,8369.537874221802
2023-07-07,8431.862936019897
2023-07-10,8636.696870803833
2023-07-11,8740.151113510132
2023-07-12,8850.985921859741
2023-07-13,8834.800947189331
2023-07-14,8819.443662643433
2023-07-17,8881.871742248535
2023-07-18,9024.66533279419
2023-07-19,9094.296436309814
2023-07-20,9015.301452636719
2023-07-21,8968.298686981201
2023-07-24,8937.87878036499
2023-07-25,9000.901132583618
2023-07-26,8980.007959365845
2023-07-27,8792.148288726807
2023-07-28,8866.81297492981
2023-07-31,8941.403001785278
2023-08-01,8916.897569656372
2023-08-02,8623.42394065857
2023-08-03,8496.222688674927
2023-08-04,8371.249738693237
2023-08-07,8386.116815567017
2023-08-08,8348.25330543518
2023-08-09,8383.543333053589
2023-08-10,8343.652338027954
2023-08-11,8288.826177597046
2023-08-14,8362.284666061401
2023-08-15,8281.84448814392
2023-08-16,8166.316175460815
2023-08-17,8077.642366409302
2023-08-18,8051.216062545776
2023-08-21,8043.318380355835
2023-08-22,8016.691282272339
2023-08-23,8095.229642868042
2023-08-24,8038.326044082642
2023-08-25,8096.223924636841
2023-08-28,8214.790143966675
2023-08-29,8242.481645584106
2023-08-30,8358.620725631714
2023-08-31,8465.438383102417
2023-09-01,8420.169004440308
2023-09-05,8357.157415390015
2023-09-06,8368.679178237915
2023-09-07,8334.557806015015
2023-09-08,8367.10618019104
2023-09-11,8331.57361793518
2023-09-12,8254.183679580688
2023-09-13,8237.035593032837
2023-09-14,8310.758256912231
2023-09-15,8271.361696243286
2023-09-18,8291.778482437134
2023-09-19,8205.497541427612
2023-09-20,8114.483835220337
2023-09-21,7947.7396068573
2023-09-22,7981.5632038116455
2023-09-25,8016.9951457977295
2023-09-26,7853.572885513306
2023-09-27,7895.303213119507
2023-09-28,7992.067617416382
2023-09-29,7986.751882553101
2023-10-02,7930.759382247925
2023-10-03,7862.34571647644
2023-10-04,7970.614950180054
2023-10-05,7966.414480209351
2023-10-06,8114.58144569397
2023-10-09,8206.532403945923
2023-10-10,8232.25810432434
2023-10-11,8352.552099227905
2023-10-12,8360.05251121521
2023-10-13,8351.762273788452
2023-10-16,8472.09261894226
2023-10-17,8517.317625045776
2023-10-18,8416.121839523315
2023-10-19,8277.090635299683
2023-10-20,8189.643728256226
2023-10-23,8174.731977462769
2023-10-24,8341.541318893433
2023-10-25,8207.126485824585
2023-10-26,8087.916578292847
2023-10-27,8025.091802597046
2023-10-30,8095.75531578064
2023-10-31,8152.06715965271
2023-11-01,8276.318311691284
2023-11-02,8410.871892929077
2023-11-03,8528.095739364624
2023-11-06,8430.606267929077
2023-11-07,8380.940895080566
2023-11-08,8313.169200897217
2023-11-09,8202.998529434204
2023-11-10,8256.536155700684
2023-11-13,8230.155157089233
2023-11-14,8591.123458862305
2023-11-15,8760.070850372314
2023-11-16,8755.791610717773
2023-11-17,8856.839645385742
2023-11-20,8883.715663909912
2023-11-21,8814.567987442017
2023-11-22,8764.497158050537
2023-11-24,8849.452978134155
2023-11-27,8795.070205688477
2023-11-28,8789.175592422485
2023-11-29,8846.974657058716
2023-11-30,8950.928205490112
2023-12-01,9118.408372879028
2023-12-04,9077.930616378784
2023-12-05,8948.745920181274
2023-12-06,8963.918645858765
2023-12-07,9052.95341682434
2023-12-08,8971.326307296753
2023-12-11,9036.176149368286
2023-12-12,8999.744298934937
2023-12-13,9213.237005233765
2023-12-14,9243.659521102905
2023-12-15,9209.521547317505
2023-12-18,9159.94653892517
2023-12-19,9227.067277908325
2023-12-20,9124.526933670044
2023-12-21,9301.296968460083
2023-12-22,9293.89659690857
2023-12-26,9355.08376121521
2023-12-27,9357.40440940857
2023-12-28,9404.914304733276
2023-12-29,9379.15106010437
2024-01-02,9304.511602401733
2024-01-03,9203.433874130249
2024-01-04,9276.439725875854
2024-01-05,9309.022932052612
2024-01-08,9435.482500076294
2024-01-09,9501.111772537231
2024-01-10,9525.936220169067
2024-01-11,9469.31667137146
2024-01-12,9413.978197097778
2024-01-16,9357.900743484497
2024-01-17,9276.03755569458
2024-01-18,9325.928159713745
2024-01-19,9530.887628555298
2024-01-22,9542.402528762817
2024-01-23,9547.974905014038
2024-01-24,9563.725702285767
2024-01-25,9728.966691970825
2024-01-26,9763.470079421997
2024-01-29,9860.96841621399
2024-01-30,9806.617979049683
2024-01-31,9686.861185073853
2024-02-01,9705.999166488647
2024-02-02,9684.435022354126
2024-02-05,9467.94793510437
2024-02-06,9560.656965255737
2024-02-07,9502.157222747803
2024-02-08,9539.814319610596
2024-02-09,9642.073656082153
2024-02-12,9798.045965194702
2024-02-13,9526.723258972168
2024-02-14,9710.865844726562
2024-02-15,9859.288087844849
2024-02-16,9768.368982315063
2024-02-20,9609.41354751587
2024-02-21,9649.932081222534
2024-02-22,9682.272764205933
2024-02-23,9736.851902008057
2024-02-26,9699.959705352783
2024-02-27,9779.229108810425
2024-02-28,9744.214490890503
2024-02-29,9778.693964004517
2024-03-01,9917.359436035156
2024-03-04,9959.179023742676
2024-03-05,9939.285953521729
2024-03-06,9947.408025741577
2024-03-07,9783.565856933594
2024-03-08,9713.102746963501
2024-03-11,9725.635454177856
2024-03-12,9708.786561965942
2024-03-13,9717.904611587524
2024-03-14,9563.063171386719
2024-03-15,9556.85380935669
2024-03-18,9546.608953475952
2024-03-19,9646.4976978302
2024-03-20,9862.304830551147
